"name","birth","death","won_award","country","age","field","profession"
"Hugh Everett III",1930,"1982",0,"ARG",52,"None","Researcher"
"Andrei Zelevinsky",1950,"2013",1,"RUS",63,"Analysis","Researcher"
"John Playfair",1740,"1819",1,"AUS",79,"General","Researcher"
"Richard Crandall",1940,"2012",0,"USA",72,"Number Theory","Computer Scientist"
"Johannes Kepler",1570,"1630",0,"DEU",60,"Physics","Historian"
"Grigorii Fichtenholz",1880,"1959",1,"UKR",79,"Analysis","Researcher"
"Douglas Hartree",1890,"1958",1,"AUS",68,"Physics","Researcher"
"Walter Rudin",1920,"2010",0,"AUT",90,"Analysis","Researcher"
"Luis Santaló",1910,"2001",1,"ESP",91,"Geometry","Researcher"
"Shaun Wylie",1910,"2009",0,"BRB",99,"Topology","Researcher"
"Rudolf E. Kálmán",1930,"2016",1,"HUN",86,"Computer Science","Researcher"
"Gregorio Ricci-Curbastro",1850,"1925",0,"COL",75,"Geometry","Researcher"
"Mikhail Postnikov",1920,"2004",1,"RUS",84,"Topology","Researcher"
"Simion Stoilow",1880,"1961",0,"ROU",81,"Analysis","Researcher"
"Ralph Faudree",1930,"2015",1,"BRB",85,"Combinatorics","Researcher"
"Johann Friedrich Hennert",1730,"1813",0,"COL",83,"Analysis","Researcher"
"Igor Shafarevich",1920,"2017",1,"UKR",97,"Geometry","Researcher"
"Francis Dominic Murnaghan (mathematician)",1890,"1976",0,"GBR",86,"Algebra","Researcher"
"Radha Laha",1930,"1999",0,"BLZ",69,"Probability","Researcher"
"Gaetano Fichera",1920,"1996",1,"ITA",76,"Analysis","Researcher"
"Willard Van Orman Quine",1900,"2000",1,"USA",100,"Computer Science","Researcher"
"Pavel Urysohn",1890,"1924",0,"UKR",34,"Topology","Researcher"
"Étienne Laspeyres",1830,"1913",0,"BEL",83,"Statistics","Economist"
"Isaak Yaglom",1920,"1988",0,"UKR",68,"Geometry","Researcher"
"Shreeram Shankar Abhyankar",1930,"2012",0,"IND",82,"Geometry","Researcher"
"Nicolas Fuss",1750,"1826",0,"BEL",76,"None","Researcher"
"Errett Bishop",1920,"1983",0,"ARG",63,"Analysis","Researcher"
"Johannes Boersma",1930,"2004",0,"NLD",74,"Analysis","Researcher"
"Max August Zorn",1900,"1993",0,"DEU",93,"None","Researcher"
"Adam Olearius",1600,"1671",0,"DEU",71,"Applied Mathematics","Researcher"
"Max Newman",1890,"1984",1,"BLZ",94,"General","Cryptographer"
"Richard Rado",1900,"1989",1,"COL",89,"Combinatorics","Researcher"
"Wolfgang Heinrich Johannes Fuchs",1910,"1997",1,"DEU",87,"Analysis","Researcher"
"Leopold Vietoris",1890,"2002",1,"AUT",112,"Topology","Researcher"
"Clarence Raymond Adams",1890,"1965",0,"USA",75,"Analysis","Researcher"
"Gábor Szego",1890,"1985",0,"HUN",95,"Analysis","Researcher"
"Giambattista Benedetti",1530,"1590",0,"CAN",60,"Physics","Researcher"
"John Napier",1550,"1617",0,"GBR",67,"General","Theologist"
"George Dantzig",1910,"2005",1,"AUS",95,"General","Researcher"
"Derrick Norman Lehmer",1860,"1938",0,"AUS",78,"Number Theory","Researcher"
"Shimshon Amitsur",1920,"1994",1,"BOL",74,"None","Researcher"
"Jacques-Louis Lions",1920,"2001",1,"AUT",81,"Analysis","Researcher"
"Kikuchi Dairoku",1850,"1917",1,"IDN",67,"General","Researcher"
"Naum Akhiezer",1900,"1980",0,"BLR",80,"Analysis","Researcher"
"Karl Mikhailovich Peterson",1820,"1881",0,"AFG",61,"Geometry","Researcher"
"Nikolaus Hofreiter",1900,"1990",1,"AUT",90,"Number Theory","Researcher"
"Nathaniel Bliss",1700,"1764",1,"GBR",64,"Physics","Researcher"
"Sergei Natanovich Bernstein",1880,"1968",1,"UKR",88,"Analysis","Researcher"
"Paul Sophus Epstein",1880,"1966",0,"JAM",86,"Physics","Researcher"
"Naum Ya. Vilenkin",1920,"1991",0,"RUS",71,"Combinatorics","Researcher"
"Zsolt Baranyai",1940,"1978",0,"HUN",38,"Combinatorics","Researcher"
"Géza Fodor (mathematician)",1920,"1977",0,"HUN",57,"Combinatorics","Researcher"
"Sofia Kovalevskaya",1850,"1891",1,"RUS",41,"General","Researcher"
"Robert Lee Moore",1880,"1974",0,"CAN",94,"Topology","Researcher"
"Irving Kaplansky",1910,"2006",1,"AUS",96,"None","Researcher"
"Robert Recorde",1510,"1558",0,"GBR",48,"Physics","Researcher"
"Elisha Netanyahu",1910,"1986",0,"JAM",76,"Analysis","Researcher"
"Mauro Picone",1880,"1977",0,"ARG",97,"Analysis","Researcher"
"Nathan Fine",1910,"1994",1,"BRA",84,"Analysis","Researcher"
"Giuseppe Veronese",1850,"1917",0,"ITA",67,"General","Researcher"
"Israel Gohberg",1920,"2009",0,"UKR",89,"Applied Mathematics","Researcher"
"Nachman Aronszajn",1900,"1980",0,"JAM",80,"Analysis","Researcher"
"Cesare Burali-Forti",1860,"1931",0,"HRV",71,"Combinatorics","Researcher"
"Harald Cramér",1890,"1985",1,"SWE",95,"Probability","Researcher"
"Valery Glivenko",1890,"1940",0,"RUS",50,"Analysis","Researcher"
"Gaspard-Gustave Coriolis",1790,"1843",0,"CAN",53,"General","Researcher"
"Harold Davenport",1900,"1969",1,"GBR",69,"Number Theory","Researcher"
"Jean Leray",1900,"1998",1,"BRA",98,"Analysis","Researcher"
"Stefan E. Warschawski",1900,"1989",0,"BLR",89,"Analysis","Researcher"
"András P Huhn",1940,"1985",0,"HUN",45,"None","Researcher"
"Czeslaw Ryll-Nardzewski",1920,"2015",1,"LTU",95,"Computer Science","Researcher"
"Norbert Wiener",1890,"1964",1,"BOL",74,"General","Researcher"
"Anne Penfold Street",1930,"2016",0,"AUS",86,"Combinatorics","Researcher"
"Eduard Ritter von Weber",1870,"1934",0,"DEU",64,"Analysis","Researcher"
"Otto Stolz",1840,"1905",0,"AUT",65,"Analysis","Researcher"
"Rodion Kuzmin",1890,"1949",0,"BLR",59,"Analysis","Researcher"
"Jean Paul de Gua de Malves",1710,"1786",1,"FRA",76,"Geometry","Researcher"
"Nikolay Nekhoroshev",1940,"2008",0,"RUS",68,"Geometry","Researcher"
"Yurii Dmitrievich Sokolov",1890,"1971",1,"RUS",81,"Analysis","Researcher"
"Oskar Perron",1880,"1975",1,"DEU",95,"Analysis","Researcher"
"Sergio Campanato",1930,"2005",0,"CAN",75,"Analysis","Researcher"
"Seymour Papert",1920,"2016",1,"ECU",96,"Applied Mathematics","Researcher"
"Pietro Cataldi",1550,"1626",0,"ITA",76,"General","Researcher"
"Zygmunt Janiszewski",1880,"1920",0,"JAM",40,"Topology","Researcher"
"Leon Henkin",1920,"2006",1,"AUS",86,"General","Researcher"
"Georgii Evgenevich Shilov",1910,"1975",1,"BGR",65,"Analysis","Researcher"
"Edward Kofler",1910,"2007",0,"UKR",97,"Combinatorics","Researcher"
"Sergey Yablonsky",1920,"1998",1,"RUS",78,"General","Researcher"
"Heinrich August Rothe",1770,"1842",0,"CAN",72,"Combinatorics","Researcher"
"Louis-Benjamin Francœur",1770,"1849",1,"CAN",79,"General","Researcher"
"Henri Poincaré",1850,"1912",1,"BOL",62,"Geometry","Researcher"
"Gino Fano",1870,"1952",0,"CUB",82,"General","Researcher"
"Daniel Bernoulli",1700,"1782",1,"NLD",82,"Analysis","Researcher"
"Thomas Simpson",1710,"1761",1,"GBR",51,"Analysis","Researcher"
"Alonzo Church",1900,"1995",0,"ARG",95,"Logic","Researcher"
"Friedrich Engel (mathematician)",1860,"1941",0,"CZE",81,"General","Researcher"
"Gustav Elfving",1900,"1984",0,"FIN",84,"Probability","Researcher"
"Giovanni Frattini",1850,"1925",0,"BEL",75,"Algebra","Researcher"
"Isabella Bashmakova",1920,"2005",0,"RUS",85,"None","Researcher"
"John Wallis",1610,"1703",0,"AUS",93,"General","Researcher"
"Émile Picard",1850,"1941",1,"CAN",91,"Analysis","Researcher"
"Béla Kerékjártó",1890,"1946",0,"HUN",56,"Topology","Researcher"
"Oded Schramm",1960,"2008",1,"BOL",48,"Probability","Researcher"
"Enzo Martinelli",1910,"1999",0,"ITA",89,"Analysis","Researcher"
"Oliver Heaviside",1850,"1925",1,"BLZ",75,"Physics","Researcher"
"Albert W. Tucker",1900,"1995",1,"PER",95,"Topology","Researcher"
"Louis Couturat",1860,"1914",0,"FRA",54,"Applied Mathematics","Philosopher"
"Francesco Tricomi",1890,"1978",0,"ITA",88,"Analysis","Researcher"
"Joseph Fourier",1760,"1830",1,"FRA",70,"Analysis","Researcher"
"Abram Ilyich Fet",1920,"2007",0,"UKR",87,"Geometry","Researcher"
"Joseph Alfred Serret",1810,"1885",0,"CAN",75,"Geometry","Researcher"
"Naum Z. Shor",1930,"2006",1,"RUS",76,"Analysis","Researcher"
"Bruno de Finetti",1900,"1985",0,"AUT",85,"Probability","Researcher"
"Aryeh Dvoretzky",1910,"2008",1,"RUS",98,"Probability","Researcher"
"Leonida Tonelli",1880,"1946",0,"ITA",66,"Analysis","Researcher"
"Mikhail Kadets",1920,"2011",0,"RUS",91,"Analysis","Researcher"
"Giulio Ascoli",1840,"1896",0,"COL",56,"Analysis","Researcher"
"Bonaventura Cavalieri",1590,"1647",0,"AFG",57,"General","Researcher"
"Gheorghe Vrânceanu",1900,"1979",0,"BIH",79,"Geometry","Researcher"
"Stephen Rallis",1940,"2012",0,"GBR",72,"Number Theory","Researcher"
"Abraham Wald",1900,"1950",0,"ROU",50,"Applied Mathematics","Researcher"
"William Rowan Hamilton",1800,"1865",1,"AUS",65,"General","Researcher"
"Paul Halmos",1910,"2006",1,"HUN",96,"None","Researcher"
"Adolphe Quetelet",1790,"1874",0,"BEL",84,"General","Astronomer"
"Richard Davis Anderson",1920,"2008",0,"USA",88,"Topology","Researcher"
"Archibald Read Richardson",1880,"1954",1,"BLZ",74,"None","Researcher"
"Michio Suzuki",1920,"1998",1,"AGO",78,"Algebra","Researcher"
"Athanasios Papoulis",1920,"2002",1,"GRC",82,"General","Researcher"
"Alfred Enneper",1830,"1885",0,"DEU",55,"Geometry","Researcher"
"H. J. Ryser",1920,"1985",0,"USA",65,"Combinatorics","Researcher"
"Fritz Carlson",1880,"1952",0,"SWE",72,"Analysis","Researcher"
"Lars Ahlfors",1900,"1996",1,"FIN",96,"Analysis","Researcher"
"Hermann Brunn",1860,"1939",0,"BEL",79,"Geometry","Researcher"
"László Fejes Tóth",1910,"2005",1,"HUN",95,"Geometry","Researcher"
"Alexander Grothendieck",1920,"2014",1,"COL",94,"Geometry","Teacher"
"Johannes Hudde",1620,"1704",0,"COL",84,"General","Politician"
"Morris Kline",1900,"1992",1,"AUS",92,"General","Historian"
"Heinrich Wilhelm Brandes",1770,"1834",0,"DEU",64,"Physics","Physicist"
"Carl Gustav Jacob Jacobi",1800,"1851",1,"DEU",51,"Geometry","Teacher"
"Luigi Cremona",1830,"1903",1,"COL",73,"Geometry","Teacher"
"Helmut Hasse",1890,"1979",1,"CMR",89,"Number Theory","Teacher"
"Solomon W. Golomb",1930,"2016",1,"COL",86,"Combinatorics","Computer Scientist"
"Yehoshua Bar-Hillel",1910,"1975",0,"AUT",65,"Logic","Linguist"
"Claude Shannon",1910,"2001",1,"USA",91,"Probability","Cryptographer"
"Étienne-Louis Malus",1770,"1812",1,"CAN",42,"Physics","Physicist"
"Børge Jessen",1900,"1993",0,"DNK",93,"Analysis","Teacher"
"Nail Bakirov",1950,"2010",0,"KAZ",60,"Probability","Statician"
"Erling Sverdrup",1910,"1994",0,"AUT",84,"Computer Science","Statician"
"Isaac Barrow",1630,"1677",0,"BLZ",47,"Physics","Researcher"
"Jacob Tamarkin",1880,"1945",0,"UKR",65,"Analysis","Teacher"
"Ludwig Boltzmann",1840,"1906",1,"AUT",66,"Physics","Chemist"
"Sandy Green (mathematician)",1920,"2014",1,"AUS",94,"Algebra","Teacher"
"Charles Dupin",1780,"1873",1,"FRA",93,"Geometry","Politician"
"Ivan M. Niven",1910,"1999",0,"CAN",89,"Number Theory","Teacher"
"Anatoly Karatsuba",1930,"2008",1,"RUS",78,"Analysis","Teacher"
"Lev Schnirelmann",1900,"1938",0,"BLR",38,"Number Theory","Researcher"
"Henry P. H. Bromwell",1820,"1903",0,"COL",83,"Geometry","Politician"
"Arnaud Denjoy",1880,"1974",1,"FRA",94,"General","Teacher"
"Jarl Waldemar Lindeberg",1870,"1932",0,"FIN",62,"Probability","Statician"
"Eric Temple Bell",1880,"1960",0,"GBR",80,"Combinatorics","Historian"
"John Backus",1920,"2007",1,"BRA",87,"Computer Science","Computer Scientist"
"Felix Berezin",1930,"1980",0,"RUS",50,"Algebra","Physicist"
"Wilhelm Ackermann",1890,"1962",0,"DEU",72,"General","Philosopher"
"Ernest Michael",1920,"2013",1,"CHE",93,"Analysis","Researcher"
"Marcel-Paul Schützenberger",1920,"1996",0,"CAN",76,"Combinatorics","Computer Scientist"
"Sergey Nikolsky",1900,"2012",1,"RUS",112,"Applied Mathematics","Teacher"
"John Edensor Littlewood",1880,"1977",1,"AUS",97,"Analysis","Teacher"
"Yuri Linnik",1910,"1972",1,"UKR",62,"Number Theory","Statician"
"Claude Berge",1920,"2002",1,"CAN",82,"Combinatorics","Computer Scientist"
"Charles Sanders Peirce",1830,"1914",0,"AUS",84,"Algebra","Philosopher"
"Moritz Cantor",1820,"1920",0,"DEU",100,"Applied Mathematics","Historian"
"Saunders Mac Lane",1900,"2005",1,"USA",105,"None","Teacher"
"Gottfried Wilhelm Leibniz",1640,"1716",1,"DEU",76,"Analysis","Lawyer"
"Viktor Bunyakovsky",1800,"1889",0,"AFG",89,"Analysis","Teacher"
"Leopold Kronecker",1820,"1891",0,"POL",71,"Number Theory","Teacher"
"Gilbert Ames Bliss",1870,"1951",0,"BLZ",81,"Analysis","Teacher"
"Josiah Willard Gibbs",1830,"1903",1,"BLZ",73,"Analysis","Physicist"
"Bernhard Neumann",1900,"2002",1,"COL",102,"Algebra","Teacher"
"Heinrich Martin Weber",1840,"1913",0,"AUS",73,"None","Teacher"
"Andrei Bolibrukh",1950,"2003",0,"RUS",53,"Analysis","Teacher"
"Arthur Milgram",1910,"1961",0,"BRA",51,"Analysis","Researcher"
"Charles B. Morrey Jr.",1900,"1984",0,"USA",84,"Analysis","Teacher"
"William Sealy Gosset",1870,"1937",0,"AUS",67,"Statistics","Researcher"
"Sergey Stechkin",1920,"1995",0,"RUS",75,"Analysis","Teacher"
"Arthur Geoffrey Walker",1900,"2001",1,"CAN",101,"Geometry","Physicist"
"Eugene Wigner",1900,"1995",1,"HUN",95,"Physics","Physicist"
"Otto Hölder",1850,"1937",0,"DEU",87,"Algebra","Teacher"
"Henry Helson",1920,"2010",0,"AUS",90,"Analysis","Teacher"
"Carl Wilhelm Borchardt",1810,"1880",0,"COL",70,"None","Teacher"
"Ernst Leonard Lindelöf",1870,"1946",0,"FIN",76,"Topology","Researcher"
"Shiing-Shen Chern",1910,"2004",1,"CHN",94,"Geometry","Teacher"
"Alexis Clairaut",1710,"1765",1,"CAN",55,"General","Researcher"
"Edward Norton Lorenz",1910,"2008",1,"USA",98,"General","Physicist"
"Raymond Louis Wilder",1890,"1982",1,"AUS",92,"Topology","Police"
"Friedrich Robert Helmert",1840,"1917",0,"AUT",77,"Physics","Physicist"
"Arthur Herbert Copeland",1890,"1970",1,"AUS",80,"Probability","Teacher"
"John L. Kelley",1910,"1999",0,"USA",89,"Topology","Researcher"
"Emil Artin",1890,"1962",1,"AUT",72,"None","Teacher"
"Ðuro Kurepa",1900,"1993",1,"HRV",93,"General","Teacher"
"Ruth Moufang",1900,"1977",0,"DEU",77,"None","Teacher"
"Marston Morse",1890,"1977",1,"CAN",87,"Topology","Researcher"
"Sofya Yanovskaya",1890,"1966",1,"BLR",76,"Metamathematics","Historian"
"Jakob Steiner",1790,"1863",0,"CHE",73,"Geometry","Teacher"
"George F C Griss",1890,"1953",0,"COL",63,"Analysis","Philosopher"
"William Stanley Jevons",1830,"1882",1,"AUS",52,"Applied Mathematics","Economist"
"Thomas M. Cover",1930,"2012",1,"ARG",82,"Probability","Engineer"
"José Celestino Mutis",1730,"1808",0,"COL",78,"Applied Mathematics","Linguist"
"Nathaniel Bowditch",1770,"1838",0,"DEU",68,"General","Astronomer"
"Edmund Landau",1870,"1938",0,"COL",68,"Number Theory","Teacher"
"Édouard Goursat",1850,"1936",1,"FRA",86,"Analysis","Teacher"
"Lipman Bers",1910,"1993",1,"AFG",83,"General","Teacher"
"Frank Adams",1930,"1989",1,"AUS",59,"Topology","Astronomer"
"Jean-Victor Poncelet",1780,"1867",1,"AUS",87,"General","Politician"
"James Whitbread Lee Glaisher",1840,"1928",1,"BRB",88,"Number Theory","Astronomer"
"Rusinš Martinš Freivalds",1940,"2016",1,"LVA",76,"General","Computer Scientist"
"Paul Dirac",1900,"1984",1,"CAN",84,"Physics","Physicist"
"Marcel Brillouin",1850,"1948",1,"BEL",98,"Physics","Physicist"
"Erasmus Reinhold",1510,"1553",0,"DEU",43,"Physics","Astronomer"
"Klaus Wagner",1910,"2000",0,"BRA",90,"Combinatorics","Researcher"
"Christopher Zeeman",1920,"2016",1,"IDN",96,"Topology","Researcher"
"Daniel Gorenstein",1920,"1992",1,"BOL",72,"Algebra","Teacher"
"Greg Hjorth",1960,"2011",1,"AUS",51,"Logic","Chess Player"
"Nicolaas Govert de Bruijn",1910,"2012",0,"NLD",102,"Combinatorics","Teacher"
"Kunihiko Kodaira",1910,"1997",1,"JPN",87,"Geometry","Teacher"
"Andrey Markov, Jr.",1900,"1979",1,"RUS",79,"Logic","Researcher"
"Henri Lebesgue",1870,"1941",1,"FRA",71,"Analysis","Teacher"
"George Uhlenbeck",1900,"1988",1,"IDN",88,"Physics","Teacher"
"Jon Barwise",1940,"2000",1,"BLZ",60,"Logic","Philosopher"
"Horace Lamb",1840,"1934",1,"AUS",94,"General","Physicist"
"Vyacheslav Stepanov",1880,"1950",1,"RUS",70,"Analysis","Teacher"
"Jack Silver",1940,"2016",0,"USA",76,"Combinatorics","Philosopher"
"Alberto Calderón",1920,"1998",1,"ARG",78,"Analysis","Teacher"
"Konrad Knopp",1880,"1957",0,"COL",77,"Analysis","Teacher"
"Evangelista Torricelli",1600,"1647",0,"ITA",47,"Physics","Physicist"
"Hermann Grassmann",1800,"1877",0,"POL",77,"None","Physicist"
"Ronald Ross",1850,"1932",1,"ESP",82,"Applied Mathematics","Researcher"
"Ralph Fox",1910,"1973",1,"USA",63,"Topology","Researcher"
"Giacinto Morera",1850,"1909",0,"ITA",59,"Analysis","Engineer"
"J. V. Uspensky",1880,"1947",0,"MNG",67,"Probability","Teacher"
"Nikolai Efimov",1910,"1982",1,"RUS",72,"Geometry","Teacher"
"David Blackwell",1910,"2010",1,"CAN",100,"Probability","Statician"
"Donald G. Higman",1920,"2006",0,"CAN",86,"Algebra","Teacher"
"Francesco Severi",1870,"1961",0,"HRV",91,"Geometry","Teacher"
"Élie Cartan",1860,"1951",1,"FRA",91,"Geometry","Teacher"
"Alexander Kronrod",1920,"1986",1,"RUS",66,"Analysis","Economist"
"Arthur Prior",1910,"1969",0,"NZL",59,"Logic","Philosopher"
"Maryam Mirzakhani",1970,"2017",1,"IRN",47,"Geometry","Researcher"
"Evgenii Landis",1920,"1997",1,"UKR",77,"Analysis","Computer Scientist"
"Helge von Koch",1870,"1924",0,"SWE",54,"Number Theory","Teacher"
"Nathan Jacobson",1910,"1999",1,"JAM",89,"None","Teacher"
"Tibor Gallai",1910,"1992",1,"HUN",82,"Combinatorics","Teacher"
"Roger Apéry",1910,"1994",1,"BRB",84,"Number Theory","Teacher"
"Ludolph van Ceulen",1540,"1610",0,"DEU",70,"General","Teacher"
"Leonid Kantorovich",1910,"1986",1,"RUS",76,"Applied Mathematics","Economist"
"Johannes Acronius Frisius",1520,"1564",0,"NLD",44,"Applied Mathematics","Doctor"
"Rafael Bombelli",1520,"1573",0,"ITA",53,"None","Engineer"
"Richard Stone",1910,"1991",1,"BLZ",81,"Applied Mathematics","Statician"
"Otto Schreier",1900,"1929",0,"AUT",29,"Algebra","Teacher"
"Kurt Gödel",1900,"1978",1,"CZE",78,"Combinatorics","Philosopher"
"Kazimierz Ajdukiewicz",1890,"1963",0,"UKR",73,"Logic","Teacher"
"Claude Gaspard Bachet de Méziriac",1580,"1638",0,"FRA",58,"Number Theory","Writer"
"Egon Pearson",1890,"1980",1,"GBR",90,"Statistics","Statician"
"Johan de Witt",1620,"1672",0,"NLD",52,"Analysis","Politician"
"Leonard Gillman",1910,"2009",1,"AUS",99,"Combinatorics","Researcher"
"Mihailo Petrovic",1860,"1943",0,"BEL",83,"General","Scientist"
"Robert P. Dilworth",1910,"1993",0,"USA",83,"Algebra","Teacher"
"Edwin Spanier",1920,"1996",1,"AUS",76,"Topology","Researcher"
"Ernst Kolman",1890,"1979",0,"CZE",89,"General","Writer"
"Sergei Fomin",1910,"1975",0,"RUS",65,"Algebra","Teacher"
"Edward Nelson",1930,"2014",0,"USA",84,"Combinatorics","Philosopher"
"Charles Hermite",1820,"1901",1,"FRA",81,"None","Teacher"
"Anatolii Goldberg",1930,"2008",0,"RUS",78,"Analysis","Teacher"
"Nikolai Kochin",1900,"1944",0,"RUS",44,"General","Physicist"
"Ernst Specker",1920,"2011",0,"CHE",91,"Combinatorics","Teacher"
"Andreas Floer",1950,"1991",0,"BEL",41,"Topology","Researcher"
"Wilhelm Blaschke",1880,"1962",1,"AUT",82,"Geometry","Teacher"
"Ernst Zermelo",1870,"1953",1,"COL",83,"Logic","Philosopher"
"Benjamin Peirce",1800,"1880",0,"DEU",80,"None","Astronomer"
"Wilhelm Wirtinger",1860,"1945",0,"AUT",85,"General","Teacher"
"Jakob Hermann",1670,"1733",0,"BEL",63,"Physics","Teacher"
"György Elekes",1940,"2008",0,"HUN",68,"Combinatorics","Computer Scientist"
"Francesco Maria Grimaldi",1610,"1663",0,"ITA",53,"Physics","Researcher"
"Deane Montgomery",1900,"1992",1,"USA",92,"Topology","Researcher"
"Pierre-Simon Laplace",1740,"1827",1,"FRA",87,"Physics","Astronomer"
"Joseph Diaz Gergonne",1770,"1859",0,"BOL",89,"Geometry","Philosopher"
"John R. Stallings",1930,"2008",1,"USA",78,"Algebra","Researcher"
"Oleg Lupanov",1930,"2006",1,"RUS",76,"Combinatorics","Computer Scientist"
"Nikolai Smirnov (mathematician)",1900,"1966",1,"RUS",66,"Probability","Statician"
"Harry Rauch",1920,"1979",0,"CAN",59,"Geometry","Teacher"
"Poul Heegaard",1870,"1948",0,"DNK",78,"Topology","Researcher"
"Boris Delaunay",1890,"1980",1,"RUS",90,"Algebra","Teacher"
"Oskar Anderson",1880,"1960",0,"BLR",80,"General","Economist"
"Georgy Adelson-Velsky",1920,"2014",0,"ETH",94,"General","Computer Scientist"
"Émile Borel",1870,"1956",1,"FRA",86,"Probability","Politician"
"Marina Ratner",1930,"2017",1,"RUS",87,"General","Teacher"
"Carl Friedrich Gauss",1770,"1855",1,"AUS",85,"Number Theory","Physicist"
"Bertrand Russell",1870,"1970",1,"GBR",100,"Combinatorics","Writer"
"Clive Granger",1930,"2009",1,"AUS",79,"Applied Mathematics","Statician"
"Nikolai Luzin",1880,"1950",1,"RUS",70,"Analysis","Teacher"
"Christian Wiener",1820,"1896",0,"DEU",76,"Geometry","Teacher"
"René-Louis Baire",1870,"1932",0,"CAN",62,"Topology","Researcher"
"Victor Andreevich Toponogov",1930,"2004",0,"RUS",74,"Geometry","Teacher"
"William Wallace (mathematician)",1760,"1843",0,"AUS",83,"Geometry","Engineer"
"Jacob Wolfowitz",1910,"1981",1,"USA",71,"Probability","Statician"
"Carl Adam Petri",1920,"2010",1,"DEU",90,"General","Computer Scientist"
"Herman Wold",1900,"1992",0,"NOR",92,"Probability","Economist"
"Jacques Philippe Marie Binet",1780,"1856",0,"FRA",76,"Physics","Physicist"
"René de Saussure",1860,"1943",0,"CHE",83,"General","Linguist"
"Vincenzo Riccati",1700,"1775",0,"ITA",75,"General","Physicist"
"David George Kendall",1910,"2007",1,"CAN",97,"Probability","Statician"
"Nikolai Aleksandrovich Shanin",1910,"2011",0,"RUS",101,"Topology","Teacher"
"László Kalmár",1900,"1976",1,"HUN",76,"Logic","Computer Scientist"
"Eugene Lukacs",1900,"1987",0,"HUN",87,"Probability","Statician"
"Edwin E. Moise",1910,"1998",1,"BRB",88,"Geometry","Researcher"
"Martin Eichler",1910,"1992",0,"DEU",82,"Number Theory","Teacher"
"Max Dehn",1870,"1952",0,"DEU",82,"Algebra","Historian"
"Andrew M. Gleason",1920,"2008",0,"COL",88,"Analysis","Teacher"
"John Forbes Nash Jr.",1920,"2015",1,"USA",95,"Analysis","Economist"
"Renato Caccioppoli",1900,"1959",0,"ITA",59,"Analysis","Teacher"
"Klaus Matthes",1930,"1998",1,"COL",68,"Probability","Statician"
"Piers Bohl",1860,"1921",0,"BEL",61,"Analysis","Teacher"
"Waclaw Sierpinski",1880,"1969",1,"JAM",89,"Number Theory","Researcher"
"Martin Löb",1920,"2006",0,"COL",86,"Logic","Teacher"
"Hans Carl Friedrich von Mangoldt",1850,"1925",0,"DEU",75,"Number Theory","Teacher"
"Benoit Mandelbrot",1920,"2010",1,"JAM",90,"Physics","Economist"
"Vladimir Smirnov (mathematician)",1880,"1974",1,"RUS",94,"Analysis","Teacher"
"Gaspard Monge",1740,"1818",1,"FRA",78,"Geometry","Politician"
"Stanislaw Zaremba (mathematician)",1860,"1942",0,"UKR",82,"Analysis","Teacher"
"Siméon Denis Poisson",1780,"1840",1,"FRA",60,"Analysis","Astronomer"
"Johann Jakob Balmer",1820,"1898",0,"CHE",78,"General","Researcher"
"Wu Wenjun",1910,"2017",1,"CHN",107,"Topology","Historian"
"Wilhelm Launhardt",1830,"1918",0,"CAN",88,"General","Economist"
"Charles Jean de la Vallée-Poussin",1860,"1962",1,"BEL",102,"Number Theory","Teacher"
"Giacomo F. Maraldi",1660,"1729",0,"ITA",69,"Physics","Researcher"
"Gerhard Hessenberg",1870,"1925",0,"DEU",55,"Geometry","Teacher"
"Peter Hilton",1920,"2010",0,"BLZ",90,"Topology","Researcher"
"Atle Selberg",1910,"2007",1,"NOR",97,"Number Theory","Teacher"
"Farkas Bolyai",1770,"1856",0,"ERI",86,"General","Writer"
"Roland Dobrushin",1920,"1995",0,"RUS",75,"Probability","Physicist"
"Nesmith Ankeny",1920,"1993",0,"AUS",73,"Number Theory","Teacher"
"Leonid Khachiyan",1950,"2005",1,"RUS",55,"Applied Mathematics","Computer Scientist"
"Adolph P. Yushkevich",1900,"1993",1,"UKR",93,"Applied Mathematics","Historian"
"Herbert A. Simon",1910,"2001",1,"USA",91,"Applied Mathematics","Psychologist"
"Alexander Abrosimov",1940,"2011",0,"ETH",71,"Analysis","Teacher"
"Giovanni Antonio Magini",1550,"1617",0,"BGD",67,"Physics","Researcher"
"Garrett Birkhoff",1910,"1996",1,"CAN",86,"None","Teacher"
"Allyn Abbott Young",1870,"1929",0,"GBR",59,"Applied Mathematics","Statician"
"Henry Mann",1900,"2000",1,"AUT",100,"Algebra","Statician"
"Lorenzo Respighi",1820,"1889",0,"ITA",69,"Physics","Astronomer"
"Reinhold Baer",1900,"1979",0,"COL",79,"None","Teacher"
"Duncan Sommerville",1870,"1934",1,"IND",64,"Geometry","Astronomer"
"Heini Halberstam",1920,"2014",0,"BEL",94,"Number Theory","Teacher"
"Armand Borel",1920,"2003",1,"CHE",83,"Topology","Researcher"
"Augustin-Louis Cauchy",1770,"1857",1,"CAN",87,"Analysis","Engineer"
"Karl Prachar",1920,"1994",0,"AUT",74,"Number Theory","Teacher"
"Julius Weisbach",1800,"1871",0,"DEU",71,"Physics","Engineer"
"Naum Meiman",1910,"2001",1,"BLR",91,"Physics","Physicist"
